"p_symbol","last_close","last_volume","avg_volume","pct_change_1_day","pct_change_1_week","pct_change_1_month","pct_change_3_months","pct_change_1_year","sma_5","ema_5","sma_13","ema_13","sma_20","ema_20","sma_34","ema_34","sma_50","ema_50","sma_89","ema_89","sma_200","ema_200","bband_upper","bband_lower","bband_mid","macd","macd_signal","macd_hist","adx","dmi_plus","dmi_minus","rsi","stoch_k","stoch_d","cci","psar","true_range","atr","williams_r","trix","stochrsi_k","stochrsi_d","momentum","candle","p_date"
"20MICRONS","40.45","44714.00","121835.74","-3.23","-9.81","-15.90","12.99","8.01","41.79","41.99","44.68","44.00","46.14","44.81","46.50","45.03","45.26","44.68","41.90","44.29","47.18","45.76","52.25","40.03","46.14","-1.23","-0.34","-0.89","26.17","17.47","26.10","34.11","17.97","19.29","-92.37","47.30","3.00","2.78","-95.91","0.27","0.00","8.89","-7.65","","2018-10-05"
"21STCENMGM","26.75","2745.00","4092.08","-1.83","-9.01","-21.32","-27.80","0.00","27.79","27.79","29.91","29.45","30.70","30.54","32.89","32.09","34.68","33.21","35.29","34.70","","","34.60","26.81","30.70","-2.02","-1.71","-0.31","48.77","9.17","56.82","16.08","0.00","0.00","-109.61","30.84","0.75","0.76","-100.00","-0.29","0.00","0.00","-7.25","","2018-10-05"
"3IINFOTECH","3.25","3306501.00","3237732.88","-2.99","-5.80","-9.72","-23.53","-15.58","3.34","3.34","3.52","3.44","3.50","3.48","3.52","3.54","3.55","3.62","3.85","3.86","4.90","4.29","3.84","3.15","3.50","-0.07","-0.04","-0.03","14.14","16.89","23.48","38.31","23.28","22.45","-118.28","4.08","0.20","0.20","-95.00","-0.28","0.00","0.00","-0.35","","2018-10-05"
"3MINDIA","21917.20","1463.00","3394.90","-3.45","-4.29","-15.64","12.09","51.49","22586.24","22544.02","23402.92","23259.94","24061.75","23650.55","24704.75","23846.30","24403.40","23642.59","22346.86","22829.01","20796.26","20689.66","26520.94","21602.55","24061.75","-624.27","-352.34","-271.93","41.69","9.07","31.74","28.73","45.64","50.60","-103.15","23800.00","1091.40","1075.99","-83.15","0.26","0.00","41.29","-4064.50","","2018-10-05"
"A2ZINFRA","9.20","735590.00","686247.68","9.52","-40.84","-54.46","-53.65","-74.59","9.85","10.25","14.42","13.34","16.06","14.97","18.20","16.91","19.54","18.22","20.54","20.47","27.23","26.39","23.77","8.36","16.06","-2.91","-2.01","-0.90","38.67","7.21","47.54","15.38","5.56","2.41","-58.85","14.94","1.05","1.35","-91.21","-0.46","100.00","33.33","-11.00","","2018-10-05"
"AARON","39.50","6000.00","","-3.42","-3.66","0.00","0.00","0.00","40.68","40.42","","","","","","","","","","","","","","","","","","","","","","","53.55","69.10","-131.23","41.48","1.40","","","","","","","","2018-10-05"
"AARTIDRUGS","546.40","24933.00","33564.76","-1.45","-4.49","-3.67","1.60","5.30","553.68","556.71","581.06","572.28","595.66","576.84","578.51","576.22","569.35","572.99","560.74","568.57","582.47","568.92","660.99","530.33","595.66","-6.31","1.88","-8.19","31.30","16.37","28.37","39.36","30.78","29.89","-104.41","659.31","27.25","28.02","-92.66","0.14","11.86","35.18","-20.80","","2018-10-05"
"AARTIIND","1199.55","27697.00","32379.92","-0.33","0.94","-11.46","-1.32","36.13","1182.23","1196.48","1232.05","1225.81","1265.84","1248.60","1307.96","1270.85","1303.67","1277.37","1268.44","1267.65","1216.05","1181.82","1401.49","1130.18","1265.84","-39.33","-30.70","-8.63","25.47","13.87","23.44","39.03","78.00","59.90","61.89","1224.95","28.80","53.58","-61.56","0.04","93.54","96.86","-155.20","","2018-10-05"
"AARVEEDEN","24.20","10431.00","20134.90","0.21","-8.51","-17.97","-23.05","-44.50","24.22","24.53","26.23","25.83","27.09","26.71","28.50","28.01","29.88","29.19","31.19","31.76","39.75","37.33","30.86","23.33","27.09","-1.63","-1.37","-0.26","18.26","11.20","19.51","28.29","30.48","23.92","4.72","27.15","1.30","1.95","-80.29","-0.38","100.00","67.36","-5.30","","2018-10-05"
"ABAN","76.95","531642.00","678418.18","-4.88","-12.56","-32.74","-33.78","-57.93","80.60","81.24","90.21","88.75","96.95","93.56","103.97","99.60","106.47","104.58","112.01","115.63","151.98","143.12","121.57","72.33","96.95","-8.63","-6.67","-1.96","43.13","7.08","40.13","17.09","18.94","18.82","-126.52","87.96","4.90","4.76","-97.22","-0.38","49.41","77.43","-37.45","","2018-10-05"
